,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,173,0.001,3.381818181818182,3.563636363636364,2027,23032022_W01_AVEp0_VEp0_173
0,174,0.001,3.381818181818182,3.6545454545454548,2022,23032022_W01_AVEp0_VEp0_174
0,175,0.001,3.381818181818182,3.6545454545454548,2023,23032022_W01_AVEp0_VEp0_175
0,176,0.001,3.381818181818182,3.6545454545454548,2024,23032022_W01_AVEp0_VEp0_176
0,177,0.001,3.381818181818182,3.6545454545454548,2025,23032022_W01_AVEp0_VEp0_177
0,178,0.001,3.381818181818182,3.6545454545454548,2026,23032022_W01_AVEp0_VEp0_178
0,179,0.001,3.381818181818182,3.6545454545454548,2027,23032022_W01_AVEp0_VEp0_179
0,180,0.001,3.381818181818182,3.7454545454545456,2022,23032022_W01_AVEp0_VEp0_180
0,181,0.001,3.381818181818182,3.7454545454545456,2023,23032022_W01_AVEp0_VEp0_181
0,182,0.001,3.381818181818182,3.7454545454545456,2024,23032022_W01_AVEp0_VEp0_182
0,183,0.001,3.381818181818182,3.7454545454545456,2025,23032022_W01_AVEp0_VEp0_183
0,184,0.001,3.381818181818182,3.7454545454545456,2026,23032022_W01_AVEp0_VEp0_184
0,185,0.001,3.381818181818182,3.7454545454545456,2027,23032022_W01_AVEp0_VEp0_185
0,186,0.001,3.381818181818182,3.8363636363636364,2022,23032022_W01_AVEp0_VEp0_186
0,187,0.001,3.381818181818182,3.8363636363636364,2023,23032022_W01_AVEp0_VEp0_187
0,188,0.001,3.381818181818182,3.8363636363636364,2024,23032022_W01_AVEp0_VEp0_188
0,189,0.001,3.381818181818182,3.8363636363636364,2025,23032022_W01_AVEp0_VEp0_189
0,190,0.001,3.381818181818182,3.8363636363636364,2026,23032022_W01_AVEp0_VEp0_190
0,191,0.001,3.381818181818182,3.8363636363636364,2027,23032022_W01_AVEp0_VEp0_191
0,192,0.001,3.381818181818182,3.9272727272727277,2022,23032022_W01_AVEp0_VEp0_192
0,193,0.001,3.381818181818182,3.9272727272727277,2023,23032022_W01_AVEp0_VEp0_193
0,194,0.001,3.381818181818182,3.9272727272727277,2024,23032022_W01_AVEp0_VEp0_194
0,195,0.001,3.381818181818182,3.9272727272727277,2025,23032022_W01_AVEp0_VEp0_195
0,196,0.001,3.381818181818182,3.9272727272727277,2026,23032022_W01_AVEp0_VEp0_196
0,197,0.001,3.381818181818182,3.9272727272727277,2027,23032022_W01_AVEp0_VEp0_197
0,198,0.001,3.381818181818182,4.0181818181818185,2022,23032022_W01_AVEp0_VEp0_198
0,199,0.001,3.381818181818182,4.0181818181818185,2023,23032022_W01_AVEp0_VEp0_199
0,200,0.001,3.381818181818182,4.0181818181818185,2024,23032022_W01_AVEp0_VEp0_200
